"","state","year","hazard","cropdmg","cropdmg_adj","cropdmgpercapita","propertydmg","propertydmg_adj","propertydmgpercapita","duration_days"
"271","ALASKA",2014,"Coastal",0,0,0,150000,190756.8664,19.52675,3
"272","ALASKA",2014,"Flooding",0,0,0,976000,1241191.34406,158.35651,3
"273","ALASKA",2014,"Landslide",0,0,0,99,125.89953,0.00905,1
"274","ALASKA",2014,"Wind",0,0,0,949000,1206855.1081,181.63765,2
"275","ALASKA",2014,"Winter Weather",0,0,0,1000,1271.71244,0.00424,2
"276","ALASKA",2015,"Avalanche",0,0,0,99,125.75027,0.00042,1
"277","ALASKA",2015,"Flooding",0,0,0,17360300,22051135.28056,2347.23069,6
"278","ALASKA",2015,"Landslide",0,0,0,2703924,3434537.07092,250.32973,1
"279","ALASKA",2015,"Lightning",0,0,0,7000,8891.43315,3.32094,2
"280","ALASKA",2015,"Severe Storm/Thunder Storm",0,0,0,0,0,0,1
"281","ALASKA",2015,"Wildfire",0,0,0,2150000,2730940.18267,841.32211,15
"282","ALASKA",2015,"Wind",1000,1270.20474,0.12257,6013699.97,7638630.18353,1302.56256,3
"283","ALASKA",2015,"Winter Weather",0,0,0,1200,1524.24568,0.1288,2
"284","ALASKA",2016,"Avalanche",0,0,0,0,0,0,15
"285","ALASKA",2016,"Flooding",0,0,0,157999.99,194651.0116,30.39045,6
"286","ALASKA",2016,"Wildfire",0,0,0,0,0,0,16
"287","ALASKA",2016,"Wind",0,0,0,44999.98,55438.55812,1.408,2
"288","ALASKA",2017,"Avalanche",0,0,0,0,0,0,1
"289","ALASKA",2017,"Flooding",0,0,0,6009999.99,7253937.38311,125.07692,7
"290","ALASKA",2017,"Landslide",0,0,0,99,119.49082,0.00041,1
"291","ALASKA",2017,"Severe Storm/Thunder Storm",0,0,0,180000,217256.02847,6.77633,2
"292","ALASKA",2017,"Wind",0,0,0,235000,283639.81495,115.84352,4
"293","ALASKA",2017,"Winter Weather",0,0,0,1e+05,120697.7936,25.84931,2
"294","ALASKA",2018,"Earthquake",0,0,0,1.5e+08,179839739.66434,616.86552,1
"295","ALASKA",2018,"Flooding",0,0,0,3807000,4564332.59268,51.11629,5
"296","ALASKA",2018,"Wind",0,0,0,111999.99,134280.32696,33.07571,1
"297","ALASKA",2019,"Wind",0,0,0,3000.01,3485.11573,0.85014,2
"298","ALASKA",2020,"Avalanche",0,0,0,0,0,0,1
"299","ALASKA",2020,"Flooding",0,0,0,5e+05,574279.96653,10.08578,16
"300","ALASKA",2020,"Landslide",0,0,0,1435000,1648183.50394,1303.62704,2
"301","ALASKA",2021,"Flooding",0,0,0,5000740,5719320.8484,95.42023,6
"302","ALASKA",2021,"Severe Storm/Thunder Storm",0,0,0,1e+05,114369.49028,1.90788,2
"303","ALASKA",2022,"Flooding",0,0,0,14583296.99,15518107.75663,5954.06293,8
"304","ALASKA",2022,"Landslide",0,0,0,268800,286030.47499,129.14495,2
"305","ALASKA",2022,"Wind",0,0,0,3400000,3617944.99616,165.01317,6
